ID	KB	SATZ-VON	SATZ-BIS	INHALT
1	0a-sfath	Sfa1	Sfa1	-
2	0a-sfath	Sfa2	Sfa15	Grund der Begegnungen, Bestimmung, Überblick zukünftiges Leben, Mission als Künder, unverschlüsseltes Wissen bringen, eigentlicher Missionsbeginn!!Mission!eigentlicher Beginn!!, bis dahin lernend, unscheinbarer Mensch, Ereignis 1965!!Billy, Eduard Albert Meier!Verlust Arm Ankündigung!!, Ehefrau 1965 kennenlernen!!Meier, Kalliope!Ankündigung!!, viele Verleumdungen von Gattin!!Meier, Kalliope!Ankündigung Intrigen!!
3	0a-sfath	Sfa16	Sfa22	weiser als das biologische Alter vermuten lässt, Worte enthalten Schwingung grosser innerer Kraft, inspirative Form der Vermittlung, Menschen denken über seine Worte nach
4	0a-sfath	Sfa23	Sfa25	Bedeutung des Namens Eduard!!Billy, Eduard Albert Meier!Bedeutung Name!!, zukünftiger Name Billy!!Billy, Eduard Albert Meier!Ankündigung Name Billy!!, Bezeichnung BEAM = Strahl
5	0a-sfath	Sfa26	Sfa38	wird einfacher Mensch bleiben, im Hintergrund bleiben, Veridolisierung verhindern, im Stillen arbeiten, Delegation Öffentlichkeitsarbeit, Arbeit und Mission schriftlich, nicht hinabsehen auf Menschen, keine öffentlichen Demonstrationen sondern nur selektiv in Gruppe!!Billy, Eduard Albert Meier!Demonstrationen!!, richtige Distanz zu Menschen, Ankündigung Gruppierung ab 1975!!FIGU!Ankündigung!!
6	0a-sfath	Sfa39	Sfa53	gekommen um zu geben, nur ehrlichen Lohn empfangen!!Geld!ehrlicher Lohn!!, Bücherproduktion, finanzielle Mittel, niemals fordern, nur soviel Wissen geben wie Menschen vertragen, weitere Fragen folgen nach Verarbeitung
7	0a-sfath	Sfa54	Sfa57	gekommen um zu lehren, die Lehre Nokodemions!!Nokodemion!erste Erwähnung in KB!!, Henok!!Henok!erste Erwähnung in KB!!, Missionsbeginn, kein Reichtum und keine finanzielle Bereicherung durch Lehre, entstehende Gruppierung, Ziel der Mission!!Mission!Ziel!!
8	0a-sfath	Sfa58	Sfa66	wird viel und harte Arbeit erfordern, 1977 Aufbau FIGU-Center!!FIGU!Ankündigung Aufbau Center!!, 1975 Gruppierung!!FIGU!Andkündigung Gründung!!, nicht über andere Menschen erheben, nicht wie Religionen lehren, Freiheit belassen, nicht politisch, Natur der Vereinigung!!FIGU!Natur der!!
9	0a-sfath	Sfa67	Sfa70	wird Quelle der Harmonie erschaffen, was Billy bringen will!!Billy, Eduard Albert Meier!was er bringen will!!
10	0a-sfath	Sfa71	Sfa74	Grund für Probleme der Menschheit, Unwissen führt zu Unsicherheit!!Unwissenheit!!!!Schöpfung!Gesetze und Gebote!!, Atombomben auf Hiroshima und Nagasaki!!USA!Atombomben-Verbrechen in Hiroshima und Nagasaki!!
11	0a-sfath	Sfa75	Sfa82	Lehre die Billy bringen wird, Menschen und die Welt verwandeln, Verpflichtung, alte neue Richtung weisen, helfend sein, offen sein wenn sie sich gegenüber Geisteslehre öffnen
12	0a-sfath	Sfa83	Sfa107	Aufgabe von Billy!!Billy!Aufgabe!!, Unwahrheit und Unwissenheit, Revolution der Wahrheit, unpolitisch, jeder einzelne Mensch, soll weltweite Bewegung werden!!FIGU!Ziel!!, böse Mächte, Widersacher, Mordanschläge!!Billy!Ankündigung Mordanschläge!!, Angriffe schlussendlich nutzbringend, Ausbreitung Gruppierung!!FIGU!Ausbreitung!!, elektronische und digitale Medien!!Voraussage!digitale Medien!!, keine Wehr gegen Angriffe nur Neutralität, Ankündigung Verlust Arm 1964!!Billy, Eduard Albert Meier!Ankündigung Verlust Arm 1964!!, Semjase-Silver-Star-Center!!FIGU!Andündigung SSSC!!, Hilfe durch Getreue, in geistigen Belangen Plejaren überragend!!Billy!geistiges Wissen!!, Kontaktpersonen werden Geheimnis um Billy lüften müssen, Ebene Arahat Athersata!!Arahat Athersata!erste Erwähnung in KB!!, Geisttelepathie!!Telepathie!geistige!!!!Telepathie!einfache Form!!
13	0a-sfath	Sfa108	Sfa117	stets tapfer und mutig sein, dann werden auch die Getreuen sein, schädliche Gruppenmitglieder!!FIGU!Ankündigung böswillige und rachsüchtige Mitglieder!! auch Mitglieder mit früherer Bestimmung (Kodex)!!Kodex!!, bekommt Mitglieder-Namen genannt, Vorbildwirkung!!Billy!Vorbildwirkung!!, Nutzung seiner geistigen und Bewusstseinskräfte!!Bewusstseinskräfte!nicht zum Profit!!
14	0a-sfath	Sfa118	Sfa123	Zukunft ist Epoche der Zerstörung und Vernichtung!!Zukunft!Entwicklung allgemein!!, Verbrechen der USA in Hiroshima und Nagasika!!USA!Verbrechen an Hiroshima und Nagasaki!!, Erniedrigung des Menschen durch Krieg und Religion!!Religion!Auswirkung!!, Religionsmorde, Fanatismus, Obrigkeiten ohne Skrupel!!Obrigkeit!ohne Skrupel!!, was Billy bringt, wird Religionen studieren um sie zu lernen!!Billy!Religionsstudium!!!!Evolution!auch das Unwerte kennen!!
